Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID	ce_id	timid	timespan
Russia	054	Grant diplomatic recognition	Israel	614c8255db450c99f01f3c15e1abdd29	[1:0:1]	37388	2081	1246	58
Brazil	054	Grant diplomatic recognition	Israel	614c8255db450c99f01f3c15e1abdd29	[1:0:1]	37389	2081	1246	58
Dr. Amir Fuchs	024	Appeal for political reform	State of Israel	614c8255db450c99f01f3c15e1abdd29	[11:25:25]	38201	2081	1246	58
Israel	012	Make pessimistic comment	Palestinian Arabs	c90c75433bbabaf997c470967be5b173	[5:12:13]	19414	2081	1249	58
EU Foreign Affairs Chief Federica Mogherini	013	Make optimistic comment	Israel	c90c75433bbabaf997c470967be5b173	[7:16:17]	19415	2081	1249	58
Israel	060	Engage in material cooperation	Jewish settlements	c90c75433bbabaf997c470967be5b173	[3:6:8]	24646	2081	1249	58
Jewish law	124	Refuse to yield or concede	Mixed marriages	953491bfba4ae7067acfb5143749cbea	[7:26:32]	24997	2081	1250	58
Israeli Jewish men	193	Fight with small arms and light weapons	Babikir Adham-Uvdo	953491bfba4ae7067acfb5143749cbea	[11:46:50]	25843	2081	1250	58
Israel	071	Provide economic aid	Birthright Israel	953491bfba4ae7067acfb5143749cbea	[3:7:12]	29872	2081	1250	58
Sheldon Adelson	071	Provide economic aid	Birthright Israel	953491bfba4ae7067acfb5143749cbea	[3:7:12]	29873	2081	1250	58
Ayelet Shaked	112	Accuse	Israeli Supreme Court	b311fd7f371fb2e8238c76f96e982091	[5:12:14]	11220	2081	1251	58
Benjamin Netanyahu	111	Criticize or denounce	Israeli media	b311fd7f371fb2e8238c76f96e982091	[6:15:16]	11221	2081	1251	58
Knesset Foreign Affairs and Defense Committee	113	Mobilize and rally opposition against	Arab representatives in the Knesset	e0da65dcf3a819fb7087b6c02dc93018	[1:0:1]	11517	2081	1251	58
Israel	140	Engage in political dissent	Arab representatives in the Knesset	b311fd7f371fb2e8238c76f96e982091	[4:9:11]	33420	2081	1251	58
Police	173	Arrest, detain, or charge with legal action	Rabbi Dov Haiyun	b311fd7f371fb2e8238c76f96e982091	[2:4:5]	39109	2081	1251	58
Israeli Knesset	019	Express accord	State of Israel	d4958a063b0d5b98fcce1e955dd914f0	[1:0:1]	15382	2081	1252	58
Naftali Bennett	018	Make empathetic comment	Druze community	242adf7da0d2b9ae6e25eca4d80e5e53	[1:0:2]	16528	2081	1252	58
Binyamin Netanyahu	040	Consult or meet	Druze community	242adf7da0d2b9ae6e25eca4d80e5e53	[0:0:0]	28333	2081	1252	58
Israel	073	Provide humanitarian aid	Christian population	d4958a063b0d5b98fcce1e955dd914f0	[5:9:10]	30398	2081	1252	58
Israel	075	Grant asylum	gay Palestinians	d4958a063b0d5b98fcce1e955dd914f0	[5:9:10]	30399	2081	1252	58
Naftali Bennett	034	Express intent to institute political reform	Druze community	242adf7da0d2b9ae6e25eca4d80e5e53	[2:3:8]	32082	2081	1252	58
Arab Israelis	111	Criticize or denounce	Nation State Bill	a971f724ba188eddaafc32151326e32f	[6:24:29]	11017	2081	1253	58
Palestinian Authority chief Mahmoud Abbas	111	Criticize or denounce	Nation State Bill	a971f724ba188eddaafc32151326e32f	[6:24:29]	11018	2081	1253	58
Naftali Bennett	018	Make empathetic comment	Druze community	074cf2d8ce5add920d455bbf96f754dd	[2:3:6]	14739	2081	1253	58
Israeli Finance Minister Moshe Kahlon	014	Consider policy option	surrogacy law	ad0056a51dab15abe27d3159fcb4a310	[5:16:19]	16537	2081	1253	58
Israeli Finance Minister Moshe Kahlon	1043	Demand rights	government stability	ad0056a51dab15abe27d3159fcb4a310	[6:20:20]	16538	2081	1253	58
Finance Minister Moshe Kahlon	010	Make public statement	Druze community	a971f724ba188eddaafc32151326e32f	[2:5:8]	17088	2081	1253	58
Binyamin Netanyahu	043	Host a visit	Druze community	ad0056a51dab15abe27d3159fcb4a310	[1:0:2]	28336	2081	1253	58
Non Merged Entities	040	Consult or meet	Druze community	ad0056a51dab15abe27d3159fcb4a310	[3:7:11]	28339	2081	1253	58
Benjamin Netanyahu	043	Host a visit	Druze lawmakers	a971f724ba188eddaafc32151326e32f	[2:5:8]	28566	2081	1253	58
Ayoub Kara	040	Consult or meet	Druze lawmakers	a971f724ba188eddaafc32151326e32f	[2:5:8]	28569	2081	1253	58
Israeli Education Minister Naftali Bennett	034	Express intent to institute political reform	Druze community	ad0056a51dab15abe27d3159fcb4a310	[5:16:19]	32084	2081	1253	58
Prime Minister's office	034	Express intent to institute political reform	Druze community	a971f724ba188eddaafc32151326e32f	[3:9:14]	32215	2081	1253	58
Finance Minister Moshe Kahlon	034	Express intent to institute political reform	Druze community	a971f724ba188eddaafc32151326e32f	[3:9:14]	32216	2081	1253	58
Druze community	1121	Accuse of crime, corruption	Israel	ad0056a51dab15abe27d3159fcb4a310	[2:3:6]	33314	2081	1253	58
Druze lawmakers	141	Demonstrate or rally	Israel	a971f724ba188eddaafc32151326e32f	[2:5:8]	33374	2081	1253	58
Avi Katz	1054	Demand easing of economic sanctions, boycott, or embargo	Nation State Bill	a971f724ba188eddaafc32151326e32f	[4:15:18]	33375	2081	1253	58
Israel	162	Reduce or stop material aid	International Community	f77353a7814dea1f04f8aa74de0e5038	[5:12:15]	33978	2081	1253	58
Israel	152	Increase military alert status	Palestinians	f77353a7814dea1f04f8aa74de0e5038	[5:12:15]	35241	2081	1253	58
Amal Asaad	024	Appeal for political reform	Israeli High Court	074cf2d8ce5add920d455bbf96f754dd	[1:0:2]	38017	2081	1253	58
Amal Asaad	027	Appeal to others to settle dispute	Israeli High Court	074cf2d8ce5add920d455bbf96f754dd	[2:3:6]	38018	2081	1253	58
Finance Minister Moshe Kahlon	046	Engage in negotiation	Benjamin Netanyahu	378ef69ec6456b94e17b1c597171e00a	[3:8:10]	27613	2081	1254	58
Recep Tayyip Erdogan	111	Criticize or denounce	Israel	661738831ca1974e0c4f150d149ac324	[1:0:3]	12387	2081	1255	58
Dror Eydar	111	Criticize or denounce	Meretz MK Tamar Zandberg	661738831ca1974e0c4f150d149ac324	[4:9:17]	12388	2081	1255	58
Recep Tayyip Erdogan	1053	Demand release of persons or property	Israel	661738831ca1974e0c4f150d149ac324	[1:0:3]	19867	2081	1255	58
Israeli Supreme Court	063	Engage in judicial cooperation	Regavim	661738831ca1974e0c4f150d149ac324	[4:9:17]	24833	2081	1255	58
Yohanan Plesner	012	Make pessimistic comment	Likud legislators	222be63a4256c77ccaf41ec4c0a9efc6	[3:3:4]	19519	2081	1256	58
Ayelet Shaked	014	Consider policy option	Israeli Supreme Court	222be63a4256c77ccaf41ec4c0a9efc6	[4:5:28]	19522	2081	1256	58
Kulanu	111	Criticize or denounce	Likud and Jewish Home	c6fa4ee6680353fa55975565795eca62	[1:0:3]	9770	2081	1257	58
Likud and Jewish Home	016	Reject accusation, deny responsibility	Nation State Bill	c6fa4ee6680353fa55975565795eca62	[1:0:3]	14683	2081	1257	58
Moshe Kahlon	0356	Express intent to de-escalate military engagement	Nation State Bill	c6fa4ee6680353fa55975565795eca62	[1:0:3]	14684	2081	1257	58
Naftali Bennet	016	Reject accusation, deny responsibility	Nation State Bill	c6fa4ee6680353fa55975565795eca62	[1:0:3]	14685	2081	1257	58
Moshe Kahlon	014	Consider policy option	Nation State Bill	c6fa4ee6680353fa55975565795eca62	[2:4:7]	14686	2081	1257	58
Israeli Knesset	015	Non-apologetically acknowledge or claim responsibility	Nation State Bill	c6fa4ee6680353fa55975565795eca62	[2:4:7]	14687	2081	1257	58
President Reuven Rivlin	017	Engage in symbolic act	Israeli media	b7945c8d5fb0e8689a041f182c07189a	[1:0:0]	18748	2081	1258	58
Israeli parliament	040	Consult or meet	Israeli MPs	b7945c8d5fb0e8689a041f182c07189a	[1:0:0]	29210	2081	1258	58
Israeli Arab community	141	Demonstrate or rally	Israeli authorities	b7945c8d5fb0e8689a041f182c07189a	[1:0:0]	33556	2081	1258	58
Israeli Knesset	013	Make optimistic comment	State of Israel	adf9b81777f03752f8a8296c4b285c91	[1:0:1]	17050	2081	1259	58
Indian refiners	114	Complain officially with written or institutionalized behaviors	State Bank of India	003e656d916083194cb7001598b01529	[0:0:0]	9297	2104	1212	45
State Bank of India	011	Refuse to comment	Indian refiners	003e656d916083194cb7001598b01529	[0:0:0]	13782	2104	1212	45
Indian state refiners	061	Cooperate economically	traditional oil suppliers	003e656d916083194cb7001598b01529	[6:23:27]	22324	2104	1212	45
India	061	Cooperate economically	Middle East	908cd1cdbd498f2225ff319c3c15e28f	[2:5:6]	23617	2104	1213	45
India	061	Cooperate economically	Russia	908cd1cdbd498f2225ff319c3c15e28f	[2:5:6]	23619	2104	1213	45
India	162	Reduce or stop material aid	European banks	908cd1cdbd498f2225ff319c3c15e28f	[1:0:4]	33970	2104	1213	45
Reliance Industries Ltd	014	Consider policy option	State Bank of India	645c7ed23b0b7ba82c29216ced030ccd	[1:0:4]	19038	2104	1217	45
State Bank of India	085	Ease economic sanction, boycott, or embargo	The United States	645c7ed23b0b7ba82c29216ced030ccd	[1:0:4]	36563	2104	1217	45
US envoy Nikki Haley	102	Demand for diplomatic cooperation	Narendra Modi	c68119030d31d6cb011915b21c745f6f	[0:0:0]	21010	2104	1225	45
The United States	061	Cooperate economically	India	c68119030d31d6cb011915b21c745f6f	[5:10:11]	22543	2104	1225	45
India's oil ministry	046	Engage in negotiation	Refiners	447e80bfbe34314373b23d3b54623fa9	[2:3:6]	27210	2104	1225	45
Ambassadors from European countries	1123	Accuse of aggression	Narendra Modi	c68119030d31d6cb011915b21c745f6f	[1:0:2]	27445	2104	1225	45
The United States	071	Provide economic aid	India	c68119030d31d6cb011915b21c745f6f	[3:5:7]	30173	2104	1225	45
The United States	050	Engage in diplomatic cooperation	India	c68119030d31d6cb011915b21c745f6f	[3:5:7]	36946	2104	1225	45
Nikki Haley	014	Consider policy option	India	bd5e3a25f3d5687e1465fdea9a7993fd	[2:4:7]	15015	2104	1226	45
Government of India	102	Demand for diplomatic cooperation	Indian refiners	bd5e3a25f3d5687e1465fdea9a7993fd	[1:0:3]	21101	2104	1226	45
Nikki Haley	040	Consult or meet	Narendra Modi	bd5e3a25f3d5687e1465fdea9a7993fd	[2:4:7]	27742	2104	1226	45
India	111	Criticize or denounce	CAATSA	ddb4a976200e7b7ab5ed61d44b8be9d7	[1:0:22]	10471	2104	1232	45
The United States	062	Cooperate militarily	CAATSA	ddb4a976200e7b7ab5ed61d44b8be9d7	[1:0:22]	23219	2104	1232	45
Russia	060	Engage in material cooperation	CAATSA	ddb4a976200e7b7ab5ed61d44b8be9d7	[1:0:22]	23221	2104	1232	45
South Korean embassy	015	Non-apologetically acknowledge or claim responsibility	IRAN Daily	f46161360809de996c1733cf6e32eba0	[1:0:3]	15209	2104	1234	45
The Tehran Times	012	Make pessimistic comment	Indian government	489c67d9492cb4cbcae5ac05c7461097	[2:3:5]	18849	2104	1236	45
Indian	042	Make a visit	Experts	489c67d9492cb4cbcae5ac05c7461097	[1:0:2]	29257	2104	1236	45
Massoud Rezvanian Rahaghi	114	Complain officially with written or institutionalized behaviors	India	a2afb53264512e19fafad8170b151259	[2:2:4]	10969	2104	1238	45
Massoud Rezvanian Rahaghi	101	Demand material cooperation	India	a2afb53264512e19fafad8170b151259	[2:2:4]	21386	2104	1238	45
India	060	Engage in material cooperation	The United States	7a451456c44314b6b81ed8ad4799d937	[2:5:6]	21959	2104	1240	45
Beijing	0314	Express intent to cooperate on intelligence or information sharing	Middle East	381a43ab062c0adf80ed1eaaf24eb3d9	[1:0:2]	22394	2104	1243	45
Chinese authorities	132	Threaten with administrative sanctions	US crude imports	381a43ab062c0adf80ed1eaaf24eb3d9	[1:0:2]	35571	2104	1243	45
Donald Trump	132	Threaten with administrative sanctions	China	381a43ab062c0adf80ed1eaaf24eb3d9	[3:6:7]	35572	2104	1243	45
Trump Administration	101	Demand material cooperation	Islamabad	77aae6247f902d5fd83d42e40ca139fd	[10:16:17]	21560	2104	1246	45
Govt	0311	Express intent to cooperate economically	Tehran	77aae6247f902d5fd83d42e40ca139fd	[7:12:13]	24145	2104	1246	45
Taliban	1244	Refuse to ease economic sanctions, boycott, or embargo	Afghan Shiites	77aae6247f902d5fd83d42e40ca139fd	[8:14:14]	24146	2104	1246	45
India	041	Discuss by telephone	Tehran	77aae6247f902d5fd83d42e40ca139fd	[7:12:13]	29022	2104	1246	45
Donald Trump	164	Halt negotiations	Joint Comprehensive Plan of Action	77aae6247f902d5fd83d42e40ca139fd	[2:2:3]	34040	2104	1246	45
Tehran	1712	Destroy property	Coalition forces in Afghanistan	77aae6247f902d5fd83d42e40ca139fd	[9:15:15]	36107	2104	1246	45
India	050	Engage in diplomatic cooperation	Afghanistan	77aae6247f902d5fd83d42e40ca139fd	[6:10:11]	37555	2104	1246	45
India	170	Coerce	China	77aae6247f902d5fd83d42e40ca139fd	[1:0:1]	39221	2104	1246	45
India	170	Coerce	Riyadh	77aae6247f902d5fd83d42e40ca139fd	[1:0:1]	39222	2104	1246	45
India	1412	Demonstrate or rally for policy change	Tehran	77aae6247f902d5fd83d42e40ca139fd	[1:0:1]	39223	2104	1246	45
The United States	110	Verbally disapprove	India	9a7741c22e15dfa5f8a24edf8ec588eb	[3:8:10]	9959	2104	1247	45
The United States	102	Demand for diplomatic cooperation	India	9a7741c22e15dfa5f8a24edf8ec588eb	[2:4:7]	21104	2104	1247	45
Iranian bank Bank Pasargad	1822	Torture	India	9a7741c22e15dfa5f8a24edf8ec588eb	[6:17:20]	22835	2104	1247	45
Iran foreign minister	040	Consult or meet	India	9a7741c22e15dfa5f8a24edf8ec588eb	[1:0:3]	27750	2104	1247	45
United States delegation	040	Consult or meet	India	9a7741c22e15dfa5f8a24edf8ec588eb	[1:0:3]	27751	2104	1247	45
Indian Deputy High Commissioner J.P. Singh	014	Consider policy option	bilateral relations with Tehran	0e5263a847b0994b3cb319347d1ddfd1	[3:7:8]	19910	2104	1248	45
Niels Annen	042	Make a visit	Govt	0e5263a847b0994b3cb319347d1ddfd1	[2:3:6]	29695	2104	1248	45
Afghanistan	071	Provide economic aid	Herat	00d99ed17b10454960153e14efd488ff	[2:4:8]	30190	2104	1248	45
German minister	021	Appeal for material cooperation	India	0e5263a847b0994b3cb319347d1ddfd1	[0:0:0]	38412	2104	1248	45
German minister of state for International Affairs Neils Annen	021	Appeal for material cooperation	India	0e5263a847b0994b3cb319347d1ddfd1	[1:0:2]	38413	2104	1248	45
Dharmendra Pradhan	011	Refuse to comment	Parliament	6943b76dfb04c82e0e772d1c9cf012bb	[1:0:3]	15138	2104	1250	45
Indian commerce ministry officials	046	Engage in negotiation	US trade representatives	d2e172c49bbeee892c995c57c1099277	[1:0:2]	29690	2104	1255	45
Iranian Firm	071	Provide economic aid	India	d2e172c49bbeee892c995c57c1099277	[0:0:0]	31247	2104	1255	45
India	121	Reject material cooperation	Trump Administration	75e4fa409635d0e593cedfc88f4164d6	[2:3:5]	25024	2104	1257	45
India	1043	Demand rights	China	75e4fa409635d0e593cedfc88f4164d6	[1:0:2]	26941	2104	1257	45
India	031	Express intent to engage in material cooperation	China	75e4fa409635d0e593cedfc88f4164d6	[1:0:2]	31385	2104	1257	45
Trump Administration	0312	Express intent to cooperate militarily	India	75e4fa409635d0e593cedfc88f4164d6	[2:3:5]	35469	2104	1257	45
Turkmenistan's President Gurbanguly Berdimuhammadov	061	Cooperate economically	Japan	0cf45c8bd8196873b66dbd50c925899b	[2:5:7]	1113	212	151	53
Iran-Turkmenistan	051	Praise or endorse	Japan	0cf45c8bd8196873b66dbd50c925899b	[1:0:4]	7725	212	151	53
Baku	061	Cooperate economically	Tehran	faea7f2ce5d33338dfc8ef3b945d4f0f	[2:6:8]	675	212	158	53
Azerbaijan	061	Cooperate economically	Afghanistan	321e8727df87cf69356a92fead8389c3	[3:11:16]	981	212	158	53
Iranian Transport and Urban Development Minister Abbas Akhoundi	061	Cooperate economically	Rashid Meredov	a34cd850f0fb3a568c881e0eb35a4034	[1:0:5]	88	212	159	53
Iran Khodro	061	Cooperate economically	Azerbaijan	7780c2f6cde56c158e74ed153365d415	[1:0:5]	228	212	159	53
Iran Khodro	046	Engage in negotiation	Azerbaijani businessmen	7780c2f6cde56c158e74ed153365d415	[1:0:5]	1379	212	159	53
Iran Khodro	013	Make optimistic comment	Azerbaijan	7780c2f6cde56c158e74ed153365d415	[2:6:11]	3095	212	159	53
Iranian president	031	Express intent to engage in material cooperation	Iran-Turkmenistan	a34cd850f0fb3a568c881e0eb35a4034	[2:6:10]	4876	212	159	53
Iran Khodro	031	Express intent to engage in material cooperation	Azerbaijan	7780c2f6cde56c158e74ed153365d415	[2:6:11]	4934	212	159	53
President Hassan Rouhani	1384	Threaten to use conventional attack	Azerbaijan	982a9b9c16914998cba543e9cd0bff0d	[1:0:4]	4262	212	166	53
President Hassan Rouhani	042	Make a visit	Azerbaijani delegation	cb041fe57ac6c809e23d8a87893c1c71	[1:0:4]	1373	212	167	53
Shahin Mustafayev	043	Host a visit	President Hassan Rouhani	cb041fe57ac6c809e23d8a87893c1c71	[1:0:4]	1374	212	167	53
Azerbaijani delegation	1055	Demand to allow non-mediatory international involvement	senior officials of Iran	cb041fe57ac6c809e23d8a87893c1c71	[2:5:8]	1375	212	167	53
Senior officials of Iran	0311	Express intent to cooperate economically	Azerbaijani delegation	cb041fe57ac6c809e23d8a87893c1c71	[2:5:8]	1376	212	167	53
Bijan Zanganeh	014	Consider policy option	Azerbaijan	b8033708b32477301ed9781e56f93f41	[3:11:13]	4001	212	167	53
President Hassan Rouhani	030	Express intent to cooperate	Azerbaijan	cb041fe57ac6c809e23d8a87893c1c71	[0:0:0]	4931	212	167	53
Turkey	061	Cooperate economically	Azerbaijan	f5abc6cc61388bc47cc5772f407f13ec	[3:9:11]	411	212	169	53
Turkey	061	Cooperate economically	China	f5abc6cc61388bc47cc5772f407f13ec	[3:9:11]	412	212	169	53
Turkey	031	Express intent to engage in material cooperation	Iran-Turkmenistan	f5abc6cc61388bc47cc5772f407f13ec	[2:5:8]	5032	212	169	53
Azerbaijan	0333	Express intent to provide humanitarian aid	Turkey	f5abc6cc61388bc47cc5772f407f13ec	[4:12:17]	5033	212	169	53
Iranian Parliament Speaker Ali Larijani	1384	Threaten to use conventional attack	Gubaz Sanikidze	6b7735c2af3638b5e4a6a659b327dd10	[1:0:3]	1311	212	172	53
Gubaz Sanikidze	0231	Appeal for economic aid	Iranian Parliament Speaker Ali Larijani	6b7735c2af3638b5e4a6a659b327dd10	[1:0:3]	1312	212	172	53
Alaeddin Boroujerdi	046	Engage in negotiation	the Georgian parliamentarian	6b7735c2af3638b5e4a6a659b327dd10	[3:7:10]	1313	212	172	53
Iranian Parliament Speaker Ali Larijani	032	Express intent to engage in diplomatic cooperation	Georgia	6b7735c2af3638b5e4a6a659b327dd10	[1:0:3]	4897	212	172	53
Israel	1055	Demand to allow non-mediatory international involvement	Iran-Turkmenistan	c796df674b4a25531080927b1d9fc871	[2:7:8]	43	212	180	53
President of Turkmenistan Gurbanguly Berdimuhamedov	043	Host a visit	Yitzhak Carmel Kagan	c796df674b4a25531080927b1d9fc871	[1:0:6]	1240	212	180	53
Yitzhak Carmel Kagan	1056	Demand de-escalation of military engagement	Iran-Turkmenistan	c796df674b4a25531080927b1d9fc871	[1:0:6]	2254	212	180	53
Iran’s U.N. ambassador Javad Zarif	031	Express intent to engage in material cooperation	Azerbaijan	9d70f9a627c13cfdb0640e12386ce02e	[1:0:5]	5068	212	180	53
Iran’s U.N. ambassador Javad Zarif	101	Demand material cooperation	Azerbaijani media representatives	9d70f9a627c13cfdb0640e12386ce02e	[1:0:5]	7152	212	180	53
Iranian citizens	103	Demand material aid	Ambassador to Iran	9d70f9a627c13cfdb0640e12386ce02e	[2:6:8]	7153	212	180	53
Iran-Turkmenistan	061	Cooperate economically	trade conference attendees	ff66eb2edebea569159d25068195c891	[1:0:4]	556	212	181	53
Aivaras Abromavicius	042	Make a visit	Industrial leaders	3a9b25ace9844d6568acfd6dc607c387	[1:0:3]	1291	212	181	53
Ukraine minister	1414	Demonstrate for change in institutions, regime	Iranian ambassador to Kiev	f107a251bbcea2855be8525e785f6819	[2:3:6]	1423	212	181	53
Iranian officials and businessmen	1011	Demand economic cooperation	Turkmen officials and businessmen	ff66eb2edebea569159d25068195c891	[1:0:4]	1696	212	181	53
Ukraine’s minister of economy and trade	051	Praise or endorse	P5+1 group of countries	f107a251bbcea2855be8525e785f6819	[1:0:2]	7478	212	181	53
Parliamentary Assembly of the Council of Europe	012	Make pessimistic comment	Armenia	5d0356a188aed2ab9ec9e6ae3faba636	[1:0:5]	4748	212	187	53
Ilham Guliyev	012	Make pessimistic comment	Armenia	5d0356a188aed2ab9ec9e6ae3faba636	[3:9:11]	4749	212	187	53
Ilham Guliyev	112	Accuse	Armenia	5d0356a188aed2ab9ec9e6ae3faba636	[2:6:8]	6658	212	187	53
President Hassan Rouhani	1053	Demand release of persons or property	Azerbaijan	8977f3f4955a9b43bd9ee6edb1d65d4c	[1:0:6]	1391	212	191	53
President Hassan Rouhani	013	Make optimistic comment	Azerbaijan	8977f3f4955a9b43bd9ee6edb1d65d4c	[1:0:6]	3119	212	191	53
President Hassan Rouhani	043	Host a visit	Shahin Mustafayev	38e680736d9d47f8e7884b0e29a70023	[2:4:7]	1262	212	195	53
Shahin Mustafayev	1834	Carry out location bombing	President Hassan Rouhani	38e680736d9d47f8e7884b0e29a70023	[2:4:7]	1263	212	195	53
President Hassan Rouhani	0353	Express intent to release persons or property	Azerbaijan	38e680736d9d47f8e7884b0e29a70023	[2:4:7]	4860	212	195	53
Iranian traders	021	Appeal for material cooperation	Azeris	38e680736d9d47f8e7884b0e29a70023	[1:0:3]	6917	212	195	53
Baku	0256	Appeal for de-escalation of military engagement	Tehran	3cee336bbb85381b71ac3d8d53dd17a2	[0:0:0]	254	212	196	53
Iran's Khazar Exploration and Production Co. (KEPCO)	044	Meet at a third location	Azerbaijan's state oil company SOCAR	3cee336bbb85381b71ac3d8d53dd17a2	[1:0:4]	1403	212	196	53
Azerbaijan's state oil company SOCAR	046	Engage in negotiation	Iran's Khazar Exploration and Production Co. (KEPCO)	3cee336bbb85381b71ac3d8d53dd17a2	[1:0:4]	1404	212	196	53
Khoshbakht Yusifzade	013	Make optimistic comment	Iranian KEPCO company	3cee336bbb85381b71ac3d8d53dd17a2	[3:8:10]	3136	212	196	53
Kyrgyz officials	061	Cooperate economically	Iranian officials	db7a1b023f0c9fc20347931859c0c506	[1:0:4]	155	212	197	53
Kyrgyzstan President	043	Host a visit	Tehran	db7a1b023f0c9fc20347931859c0c506	[0:0:0]	1306	212	197	53
Kyrgyz President Almazbek Atambayev	043	Host a visit	President Hassan Rouhani	db7a1b023f0c9fc20347931859c0c506	[1:0:4]	1307	212	197	53
President Rouhani	1414	Demonstrate for change in institutions, regime	Kyrgyz counterpart	db7a1b023f0c9fc20347931859c0c506	[2:5:8]	1308	212	197	53
Sapar Isakov	013	Make optimistic comment	Iran-Pakistan relations	db7a1b023f0c9fc20347931859c0c506	[2:5:8]	2975	212	197	53
Iranian Culture and Islamic Guidance Minister Ali Jannati	042	Make a visit	Abulfas Garayev	7781852cf43c0e8a4971d975c048d5fe	[1:0:6]	2196	212	198	53
Iranian Culture and Islamic Guidance Minister Ali Jannati	032	Express intent to engage in diplomatic cooperation	Azerbaijan	7781852cf43c0e8a4971d975c048d5fe	[1:0:6]	5321	212	198	53
Tehran	040	Consult or meet	state commission on Azerbaijan-Iran cooperation	a32c65475d986762913021ba89315f32	[0:0:0]	1875	212	204	53
Iranian delegation	043	Host a visit	Azerbaijan	a32c65475d986762913021ba89315f32	[2:6:7]	1877	212	204	53
Cynthia Nixon	013	Make optimistic comment	ICE	d4a2f5f3d5490a4ebcb1ef8bd1817ac1	[3:8:11]	17614	2120	1221	51
Ocasio-Cortez	013	Make optimistic comment	ICE	d4a2f5f3d5490a4ebcb1ef8bd1817ac1	[3:8:11]	17615	2120	1221	51
Abhimanyu Kohar	013	Make optimistic comment	ICE	d4a2f5f3d5490a4ebcb1ef8bd1817ac1	[3:8:11]	17616	2120	1221	51
Ocasio-Cortez	111	Criticize or denounce	Israel	5bbdcc8acc27f47616dfceca6154042d	[0:0:0]	9724	2120	1224	51
Ocasio-Cortez	1241	Refuse to ease administrative sanctions	Trump	bcaa0b0dab12c2a8331d8a03273e06a8	[1:0:3]	11302	2120	1224	51
Ocasio-Cortez	014	Consider policy option	ICE	bcaa0b0dab12c2a8331d8a03273e06a8	[4:10:11]	17707	2120	1224	51
Ocasio-Cortez	0311	Express intent to cooperate economically	her district	88fda1fab4095b65fc86b55015d32d82	[3:6:11]	19596	2120	1224	51
Ocasio-Cortez	090	Investigate	Trump	bcaa0b0dab12c2a8331d8a03273e06a8	[2:4:6]	20547	2120	1224	51
Ocasio-Cortez	013	Make optimistic comment	ICE	86d70f1d99e357810e47484c8848e471	[2:4:7]	16577	2120	1225	51
Ocasio-Cortez	140	Engage in political dissent	Democratic Party	86d70f1d99e357810e47484c8848e471	[1:0:3]	33325	2120	1225	51
Nancy Pelosi	111	Criticize or denounce	Newcomers	0954557c98e337ed61a4037f7290d6fb	[2:3:4]	12363	2120	1228	51
Ro Khanna	014	Consider policy option	Traditional leadership	0954557c98e337ed61a4037f7290d6fb	[2:3:4]	19824	2120	1228	51
Mark Pocan	014	Consider policy option	Congressional Progressive Caucus	0954557c98e337ed61a4037f7290d6fb	[7:18:20]	19827	2120	1228	51
Cheri Bustos	014	Consider policy option	Democratic Caucus	0954557c98e337ed61a4037f7290d6fb	[7:18:20]	19828	2120	1228	51
Nancy Pelosi	013	Make optimistic comment	The Boston Globe	c9525ec01f90eb3ea061d8a0c5719881	[1:0:2]	18914	2120	1230	51
Linda Sánchez	1041	Demand leadership change	C-SPAN	c9525ec01f90eb3ea061d8a0c5719881	[7:16:17]	18915	2120	1230	51
Nancy Pelosi	071	Provide economic aid	Democratic Congressional Campaign Committee	c9525ec01f90eb3ea061d8a0c5719881	[2:3:5]	31057	2120	1230	51
Cynthia Nixon	111	Criticize or denounce	Governor Cuomo	23ae779280e59c41a41261b41e99f025	[0:0:0]	10074	2120	1233	51
Abbey Fashouer	111	Criticize or denounce	Cynthia Nixon	23ae779280e59c41a41261b41e99f025	[2:5:9]	10077	2120	1233	51
Cynthia Nixon	1043	Demand rights	Governor Cuomo	23ae779280e59c41a41261b41e99f025	[3:10:13]	10078	2120	1233	51
Cynthia Nixon	1623	Reduce or stop humanitarian assistance	Andrew Cuomo	23ae779280e59c41a41261b41e99f025	[3:10:13]	10079	2120	1233	51
Cynthia Nixon	112	Accuse	Democratic primary electorate	23ae779280e59c41a41261b41e99f025	[5:17:19]	10080	2120	1233	51
Cynthia Nixon	012	Make pessimistic comment	Governor Cuomo	23ae779280e59c41a41261b41e99f025	[2:5:9]	15225	2120	1233	51
Governor Cuomo	013	Make optimistic comment	Liberty Defense Project	23ae779280e59c41a41261b41e99f025	[4:14:16]	15227	2120	1233	51
Nixon's campaign	105	Demand that target yield or concede	Governor Cuomo	23ae779280e59c41a41261b41e99f025	[2:5:9]	21137	2120	1233	51
Kirsten Gillibrand	016	Reject accusation, deny responsibility	National Rifle Association	99507e8ab7619cb0b21af413fcd20e61	[1:0:3]	17112	2120	1236	51
Kirsten Gillibrand	013	Make optimistic comment	Linda Sarsour	99507e8ab7619cb0b21af413fcd20e61	[1:0:3]	17113	2120	1236	51
Kirsten Gillibrand	014	Consider policy option	US Immigration and Customs Enforcement	99507e8ab7619cb0b21af413fcd20e61	[1:0:3]	17114	2120	1236	51
Ocasio-Cortez	111	Criticize or denounce	Israel	9f8b537085430a4805e0aa4f77a256cf	[1:0:3]	10166	2120	1243	51
